[08:06:54] 🔧 Loading Remote Event/Function Tester with Floating UI...
[08:06:54] 📡 GitHub Deployment System
[08:06:54] [Remote Tester] Remote Tester: 🔧 Remote Tester loaded! Click floating button to open UI.
[08:06:56] 🔍 Scanning for all RemoteEvents and RemoteFunctions...
[08:06:56] 🔧 Found RemoteFunction: ReplicatedStorage/CmdrClient/CmdrFunction
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/CmdrClient/CmdrEvent
[08:06:56] 🔧 Found RemoteFunction: ReplicatedStorage/Shared/GamePassUtility/UserOwnsGamePass
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/PromptGamePassPurchase
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/PromptProductPurchase
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/PromptPurchase
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/ProductPurchaseFinished
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/DisplaySystemMessage
[08:06:56] 🔧 Found RemoteFunction: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RF/GiftGamePass
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/ProductPurchaseCompleted
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/PlaySound
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/PlayFishingEffect
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/ReplicateTextEffect
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/DestroyEffect
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/BaitSpawned
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/FishCaught
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/TextNotification
[08:06:56] 🔧 Found RemoteFunction: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RF/PurchaseWeatherEvent
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/ActivateEnchantingAltar
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/UpdateEnchantState
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/RollEnchant
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/IncrementOnboardingStep
[08:06:56] 🔧 Found RemoteFunction: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RF/UpdateAutoFishingState
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/UpdateChargeState
[08:06:56] 🔧 Found RemoteFunction: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RF/ChargeFishingRod
[08:06:56] 🔧 Found RemoteFunction: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RF/CancelFishingInputs
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/PlayVFX
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/FishingStopped
[08:06:56] 🔧 Found RemoteFunction: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RF/RequestFishingMinigameStarted
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/FishingCompleted
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/FishingMinigameChanged
[08:06:56] 🔧 Found RemoteFunction: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RF/UpdateAutoSellThreshold
[08:06:56] 🔧 Found RemoteFunction: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RF/UpdateFishingRadar
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/ObtainedNewFishNotification
[08:06:56] 🔧 Found RemoteFunction: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RF/PurchaseSkinCrate
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/RollSkinCrate
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/EquipRodSkin
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/UnequipRodSkin
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/EquipItem
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/UnequipItem
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/EquipBait
